
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/11 (10:04:04) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2024/11/20 (22:02:12) | ===> btop++ v.1.4.0
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/20 (22:02:12) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2024/11/22 (00:53:32) | ===> btop++ v.1.4.0
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/11/22 (00:53:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/22 (16:01:21) | ===> btop++ v.1.4.0
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/22 (16:01:21) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2024/11/22 (23:15:28) | ===> btop++ v.1.4.0
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/11/22 (23:15:28) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2025/02/18 (18:59:43) | ===> btop++ v.1.4.0
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/02/18 (18:59:43) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2025/03/07 (14:05:27) | ===> btop++ v.1.4.0
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/07 (14:05:27) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
